Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
09-04-2018,97323,28210,"{79740, 11614}","{64782, 94139, 02750, 86187, 01886, 26902}","{0812, 4868, 0529, 7629}","{6089, 1001, 6236, 6743, 9481, 1528}","{121, 541, 115}","{54, 57, 42, 85}"
10-04-2018,79188,11608,"{55988, 31452}","{26921, 19326, 37623, 16278, 31207, 26160}","{2129, 9852, 6226, 0485}","{9882, 0890, 7722, 7551, 3343, 3572}","{323, 473, 119}","{62, 67, 39, 96}"
11-04-2018,34765,37684,"{88097, 71397}","{90794, 85500, 13073, 55783, 09241, 48459}","{0851, 9181, 8483, 5890}","{5863, 1549, 7222, 0516, 5118, 2325}","{349, 546, 060}","{31, 41, 11, 90}"
12-04-2018,70118,79399,"{30346, 14110}","{46837, 87872, 12615, 09853, 89951, 89315}","{0331, 5336, 6044, 0810}","{3742, 5176, 8986, 8167, 3543, 5461}","{356, 676, 232}","{50, 08, 73, 16}"
13-04-2018,42501,72498,"{18169, 62731}","{49024, 97866, 30462, 09247, 65266, 39261}","{8391, 9915, 8987, 6285}","{6129, 4100, 0407, 3031, 0225, 1401}","{816, 638, 153}","{78, 15, 12, 41}"
14-04-2018,71370,31932,"{70072, 28656}","{51946, 40128, 81829, 71233, 12002, 81055}","{0007, 6589, 4567, 9017}","{9548, 7768, 1305, 7779, 4163, 4922}","{847, 627, 998}","{95, 69, 88, 61}"
15-04-2018,25452,93274,"{01197, 74113}","{71884, 01983, 01788, 20531, 13610, 85984}","{7102, 1848, 0852, 0291}","{3277, 8951, 7847, 8029, 6257, 6856}","{485, 132, 558}","{88, 89, 65, 96}"
16-04-2018,20546,98458,"{67766, 78121}","{15420, 71118, 58387, 05877, 09757, 46879}","{6865, 9753, 6602, 2440}","{3357, 9476, 9255, 6944, 9185, 3541}","{831, 638, 639}","{92, 01, 91, 22}"
17-04-2018,83064,63908,"{00086, 45065}","{51718, 09055, 86672, 66907, 51029, 51214}","{2567, 3822, 4625, 8581}","{5524, 9901, 7149, 2202, 7931, 1304}","{416, 639, 040}","{83, 38, 35, 30}"
18-04-2018,73822,51221,"{65572, 89121}","{39136, 29896, 62517, 37994, 33932, 98555}","{3435, 0923, 6160, 8109}","{3035, 9686, 6195, 5803, 4138, 8943}","{739, 934, 618}","{34, 82, 14, 86}"
19-04-2018,34580,02976,"{59985, 50213}","{66144, 93179, 90465, 76458, 14945, 96862}","{8663, 1412, 6540, 6534}","{4235, 6783, 4787, 4496, 8033, 9992}","{290, 154, 813}","{70, 31, 41, 23}"
20-04-2018,23061,63094,"{31238, 47613}","{72144, 55643, 89018, 42097, 78121, 65008}","{8768, 3210, 9740, 9906}","{1222, 6702, 6256, 4610, 1028, 8138}","{612, 930, 941}","{77, 23, 44, 37}"
21-04-2018,69966,77778,"{19331, 18945}","{46237, 48133, 71075, 07885, 45838, 67656}","{0296, 1827, 3767, 5764}","{1713, 0280, 0727, 6134, 2182, 6086}","{984, 843, 753}","{52, 30, 97, 16}"
22-04-2018,29568,72177,"{20992, 18154}","{91108, 44422, 67881, 15419, 93331, 63137}","{8049, 7265, 3568, 7849}","{1498, 8072, 5921, 6753, 1552, 8851}","{915, 226, 411}","{53, 00, 68, 25}"
23-04-2018,32369,97691,"{89240, 07680}","{06628, 05025, 94129, 65720, 45518, 75574}","{2181, 4185, 4973, 9648}","{5963, 0945, 9232, 8473, 9767, 7146}","{677, 816, 271}","{99, 63, 27, 77}"
24-04-2018,28845,68279,"{32624, 23831}","{19531, 94046, 69770, 44263, 50954, 59694}","{9085, 5097, 7692, 7760}","{1127, 8924, 5561, 6016, 1559, 3072}","{356, 244, 831}","{20, 11, 18, 61}"
25-04-2018,26550,29832,"{77662, 58122}","{25242, 48879, 52017, 72008, 10032, 96515}","{8040, 0591, 5337, 1115}","{5929, 0387, 1994, 6644, 6227, 6337}","{019, 154, 662}","{75, 97, 59, 79}"
26-04-2018,92986,94699,"{99876, 61323}","{70029, 24325, 27063, 12466, 22223, 96411}","{9012, 8051, 3394, 4525}","{8846, 3012, 2768, 2667, 6533, 7729}","{413, 854, 555}","{32, 22, 57, 96}"
27-04-2018,10230,38857,"{81836, 42389}","{19444, 48933, 90091, 25837, 85198, 72483}","{5604, 6176, 4722, 9602}","{9562, 5498, 8821, 9210, 8716, 5705}","{432, 684, 357}","{65, 32, 23, 99}"
28-04-2018,39786,96360,"{88293, 50949}","{64977, 68175, 37129, 58686, 40833, 71613}","{3251, 4000, 0854, 6066}","{2534, 3027, 7336, 3047, 7198, 8810}","{963, 380, 331}","{61, 87, 71, 36}"
29-04-2018,19447,20512,"{61590, 00296}","{45010, 23690, 99397, 92466, 78170, 30004}","{8325, 0844, 3033, 7848}","{3298, 9488, 6528, 3007, 4448, 2881}","{857, 294, 018}","{07, 49, 54, 25}"
30-04-2018,45514,64810,"{82078, 43271}","{23236, 03468, 94171, 81467, 12857, 60215}","{4570, 9222, 7755, 6177}","{7701, 7949, 7705, 4769, 0293, 8246}","{676, 546, 915}","{27, 73, 74, 04}"
01-05-2018,55556,33384,"{99600, 90131}","{62453, 90739, 20014, 91023, 69317, 93889}","{3105, 3439, 1853, 6740}","{0717, 8852, 3939, 1243, 6924, 8742}","{978, 466, 249}","{62, 66, 78, 93}"
02-05-2018,03379,38379,"{11134, 86631}","{80774, 60439, 12881, 11334, 65352, 74497}","{4215, 4288, 3755, 8555}","{6971, 5781, 6639, 5878, 7276, 9823}","{510, 769, 911}","{33, 16, 71, 38}"
03-05-2018,74902,22464,"{06978, 84431}","{29760, 07937, 17689, 88974, 29966, 44388}","{7179, 8516, 2222, 8930}","{4402, 8725, 0704, 5589, 6542, 1648}","{584, 700, 946}","{41, 60, 16, 67}"
